school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,failures_P,failures_M,paid_P,paid_M,absences_P,absences_M,P1,M1,P2,M2,P3,M3
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,yes,no,no,yes,yes,no,no,4,3,4,1,1,3,0,0,no,no,4,6,0,5,11,6,11,6
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,0,0,no,no,2,4,9,5,11,5,11,6
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,yes,no,no,yes,yes,yes,no,4,3,2,2,3,3,0,3,no,yes,6,10,12,7,13,8,12,10
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,0,no,yes,0,2,14,15,14,14,14,15
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,no,yes,no,yes,yes,no,no,4,3,2,1,2,5,0,0,no,yes,0,4,11,6,13,10,13,10
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,0,0,no,yes,6,10,12,15,12,15,13,15
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,0,no,no,0,0,13,12,12,12,13,11
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,yes,yes,no,yes,yes,no,no,4,1,4,1,1,1,0,0,no,no,2,6,10,6,13,5,13,6
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,no,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,0,no,yes,0,0,15,16,16,18,17,19
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,0,no,yes,0,0,12,14,12,15,13,15
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,0,no,yes,2,0,14,10,14,8,14,9
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,no,yes,yes,yes,yes,yes,no,5,2,2,1,1,4,0,0,no,no,0,4,10,10,12,12,13,12
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,0,0,no,yes,0,2,12,14,13,14,12,14
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,no,yes,no,yes,yes,yes,no,5,4,3,1,2,3,0,0,no,yes,0,2,12,10,12,10,13,11
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,3,0,0,no,no,0,0,14,14,14,16,15,16
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,4,4,4,1,2,2,0,0,no,no,6,4,17,14,17,14,17,14
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,0,0,no,yes,10,6,13,13,13,14,14,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,yes,yes,yes,yes,yes,no,no,5,3,2,1,1,4,0,0,no,no,2,4,13,8,14,10,14,10
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,3,3,yes,no,2,16,8,6,8,5,7,5
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,0,0,no,yes,6,4,12,8,12,10,12,10
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,0,no,no,0,0,12,13,13,14,14,15
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,no,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,0,yes,yes,0,0,11,12,12,15,12,15
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,0,no,no,0,2,12,15,13,15,14,16
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,5,4,4,2,4,5,0,0,no,no,2,0,10,13,10,13,10,12
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,0,no,yes,2,2,10,10,11,9,10,8
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,no,yes,no,no,yes,yes,no,1,2,2,1,3,5,0,2,no,yes,6,14,10,6,11,9,12,8
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,4,2,2,1,2,5,0,0,no,yes,8,2,11,12,12,12,12,11
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,0,no,yes,0,4,11,15,11,16,11,15
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,0,0,yes,no,2,4,12,11,12,11,13,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,0,0,yes,yes,4,16,12,10,11,12,12,11
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,no,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,0,yes,yes,0,0,10,9,11,11,11,12
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,no,yes,yes,yes,yes,yes,no,4,3,1,1,1,5,0,0,no,no,2,0,15,17,15,16,15,17
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,no,yes,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,0,no,no,0,0,13,17,14,16,15,16
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,0,no,no,0,0,13,8,12,10,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,0,no,yes,4,0,12,12,12,14,12,15
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,no,yes,yes,yes,yes,no,no,3,5,1,1,1,5,0,0,no,no,4,0,11,8,11,7,11,6
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,no,yes,yes,yes,yes,yes,no,5,4,3,1,1,4,0,0,no,no,0,2,14,15,14,16,14,18
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,no,yes,yes,yes,yes,yes,yes,2,4,3,1,1,5,0,0,no,no,4,7,13,15,13,16,13,15
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,0,no,yes,2,2,11,12,12,12,12,11
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,0,0,no,yes,8,8,14,14,13,13,12,13
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,no,yes,yes,no,yes,yes,yes,3,3,3,1,2,3,0,1,no,no,16,25,11,7,11,10,10,11
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,0,0,no,no,8,8,10,12,11,12,11,12
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,5,0,0,no,no,0,2,14,19,15,18,15,18
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,yes,yes,no,yes,yes,yes,no,5,4,1,1,1,1,0,0,no,no,0,0,9,8,10,8,10,11
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,yes,no,yes,yes,yes,yes,no,4,3,3,2,2,5,1,1,no,no,14,14,10,10,11,10,11,9
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,0,0,yes,yes,4,8,10,8,11,8,11,6
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,no,yes,no,yes,yes,yes,no,2,3,5,1,4,3,0,0,no,no,6,12,13,11,12,12,13,11
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,0,0,no,no,2,4,17,19,17,19,17,20
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,no,yes,no,yes,yes,no,no,4,3,3,2,2,5,0,0,no,yes,4,2,11,15,12,15,13,14
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,yes,yes,yes,no,yes,yes,no,4,4,4,1,1,3,0,1,no,no,2,2,13,7,12,7,12,7
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,no,yes,no,yes,yes,yes,no,4,3,3,2,3,4,0,0,no,yes,0,2,14,12,13,13,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,0,no,yes,0,2,16,11,14,13,16,13
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,no,no,no,yes,yes,no,no,5,5,5,3,4,5,0,1,no,no,4,6,10,11,9,11,9,10
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,0,no,yes,0,0,13,8,12,10,12,11
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,0,no,yes,0,6,13,10,12,13,13,13
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,0,0,no,yes,2,8,12,8,13,9,12,10
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,0,no,yes,0,0,15,14,14,15,15,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,yes,yes,yes,no,no,3,2,2,1,1,5,0,0,no,no,8,4,15,14,15,15,16,15
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,0,0,no,no,0,2,14,9,13,10,14,9
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,no,yes,no,yes,yes,yes,no,4,2,3,1,1,5,0,0,yes,no,2,2,16,15,15,16,16,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,no,yes,yes,yes,yes,no,no,2,4,4,2,3,4,0,0,no,no,0,6,17,10,16,11,16,11
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,yes,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,0,no,no,0,6,10,10,10,8,16,11
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,0,no,no,0,4,13,8,13,10,10,9
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,0,0,no,yes,0,2,14,10,13,9,13,9
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,yes,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,0,no,no,0,0,13,10,12,10,12,10
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,no,yes,yes,yes,yes,yes,no,5,4,3,1,2,1,0,0,no,no,2,2,16,16,15,15,16,15
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,no,yes,yes,no,yes,yes,yes,1,3,3,5,5,3,0,0,no,no,0,4,11,13,12,13,12,12
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,0,0,no,yes,0,4,10,7,9,7,10,6
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,0,0,no,yes,0,2,11,8,10,9,11,8
